Name, #Commits, #Contributors, #Languages, #Brench, #Forks, #Stars, #Releases, #Pull request, #Iusses
jsplumb, 7898, 30, 4, 74, 1441, 7280, 0, 8, 105
mattermost-webapp, 11822, 399, 7, 437, 2715, 2218, 117, 194, 194
solidity, 23097, 365, 10, 313, 4391, 19301, 100, 39, 1072
awesome-solidity, 326, 77, 0, 1, 781, 5641, 0, 4, 5
full-blockchain-solidity-course-js, 137, 23, 0, 1, 1729, 7380, 0, 10, 32
learning-solidity, 138, 6, 5, 24, 567, 1995, 0, 8, 10
keras, 7675, 424, 4, 146, 18591, 57151, 45, 108, 393
scikit-learn, 29526, 415, 7, 30, 23180, 52674, 32, 599, 2139
PythonDataScienceHandbook, 234, 15, 5, 6, 15392, 37227, 0, 89, 186
Probabilistic-Programming-and-Bayesian-Methods-for-Hackers, 1096, 134, 5, 3, 7231, 25202, 0, 46, 197
data-science-ipython-notebooks, 543, 12, 4, 2, 7008, 24557, 0, 15, 27
spaCy, 15809, 402, 12, 62, 3951, 25085, 110, 27, 103
ML-From-Scratch, 374, 6, 1, 1, 4090, 21887, 0, 18, 48
go, 370, 34, 0, 4, 6053, 22459, 0, 63, 91
ipython, 26268, 422, 5, 26, 4277, 15669, 29, 79, 1570
Virgilio, 1371, 32, 6, 12, 2440, 13385, 0, 5, 19
awesome-datascience, 967, 198, 0, 1, 4844, 20429, 2, 0, 0
dash, 6536, 109, 7, 33, 1799, 17984, 48, 41, 732
gensim, 4427, 392, 7, 18, 4109, 13894, 42, 28, 391
stanford-cs-229-machine-learning, 178, 2, 0, 1, 3389, 14483, 0, 0, 13
dive-into-machine-learning, 350, 32, 0, 2, 1875, 11110, 0, 0, 0
Awesome-pytorch-list, 748, 73, 0, 1, 2636, 13707, 0, 0, 0
tflearn, 613, 121, 1, 9, 2324, 9591, 8, 19, 570
awesome-bigdata, 571, 147, 0, 1, 2336, 11625, 0, 29, 34
allennlp, 2719, 255, 8, 27, 2169, 11376, 59, 11, 91
streamlit, 5225, 151, 10, 183, 1982, 22309, 51, 16, 578
gridstudio, 202, 11, 9, 5, 1516, 8808, 0, 3, 38
mit-deep-learning, 64, 4, 1, 2, 2058, 9478, 0, 12, 16
data-science, 100, 14, 0, 1, 2712, 16142, 0, 0, 1
OpenRefine, 7370, 271, 8, 20, 1713, 9236, 41, 21, 639
recommenders, 8228, 92, 5, 6, 2581, 14879, 12, 3, 149
tpot, 2390, 72, 3, 7, 1483, 8910, 27, 14, 279
ds-cheatsheets, 51, 10, 0, 1, 3230, 11767, 0, 3, 6
mlcourse.ai, 65, 4, 4, 2, 5454, 8579, 1, 0, 0
nni, 2868, 171, 9, 74, 1707, 12425, 38, 25, 294
