Name, #Commits, #Contributors, #Languages, #Brench, #Forks, #Stars, #Releases, #Pull request, #Iusses
aevb, 1, 1, 1, 1, 0, 4, 0, 0, 0
DRAW, 19, 0, 1, 1, 1, 4, 0, 0, 0
Sketch-rnn, 39, 1, 2, 3, 1, 7, 0, 1, 1
hvae-nips, 6, 1, 2, 1, 2, 14, 0, 0, 0
PPVAE, 5, 1, 2, 1, 6, 45, 0, 0, 4
Steganography-SNOW-AVariation, 6, 1, 1, 1, 0, 6, 0, 0, 0
grandcentrix-AndroidCodeStyle, 77, 6, 1, 1, 64, 213, 0, 1, 11
hbworkspace2-100, 7, 1, 6, 1, 174, 223, 0, 1, 1
Animatoo, 25, 1, 2, 1, 65, 312, 1, 0, 0
tensorflow-hangul-recognition, 101, 16, 2, 2, 134, 229, 0, 3, 7
fcm-push-plugin, 58, 1, 2, 2, 2, 182, 10, 0, 0
intellij-haxe, 2709, 54, 7, 12, 94, 198, 45, 11, 257
MvpAutoCodePlus, 78, 1, 2, 2, 27, 178, 14, 0, 1
PerfectShow, 115, 1, 6, 1, 89, 221, 0, 1, 27
ArtifactFinder, 56, 3, 5, 28, 5, 177, 0, 20, 27
GreenDaoForAndroidStudio, 7, 1, 3, 2, 61, 165, 0, 0, 2
AdvancedRecycleView, 20, 1, 1, 1, 34, 172, 0, 0, 0
FBReader_AS, 9, 0, 13, 1, 71, 202, 0, 1, 4
ReciteWords, 38, 1, 1, 2, 24, 157, 4, 0, 1
CustomRefreshView, 14, 1, 1, 1, 24, 157, 0, 0, 2
GloballyDynamic, 48, 2, 7, 12, 17, 272, 1, 10, 11
SmartControl_Android_MQTT, 278, 1, 1, 1, 88, 349, 54, 0, 2
PagingLibrary-Sample, 11, 2, 1, 1, 62, 169, 0, 3, 8
calendula, 1397, 12, 2, 6, 92, 191, 18, 5, 46
chatbot-watson-android, 150, 4, 1, 2, 181, 186, 0, 0, 0
AwesomeAndroidStudioPlugin, 20, 2, 0, 1, 44, 150, 0, 0, 0
android-studio-setting, 6, 1, 0, 1, 60, 145, 0, 0, 1
GenerateFindViewById, 53, 1, 1, 1, 19, 141, 0, 0, 10
AndroidStudioAndRobolectric, 62, 2, 1, 4, 28, 141, 0, 0, 11
Dribbble_rebuild, 41, 1, 3, 1, 78, 142, 0, 0, 1
android-studio-robolectric-example, 42, 2, 1, 1, 45, 142, 0, 0, 0
idea-cloudformation, 526, 3, 2, 6, 28, 139, 33, 1, 41
LookAtMe, 49, 6, 1, 3, 32, 187, 2, 1, 7
android-vpn-client-ics-openvpn, 141, 2, 2, 4, 283, 472, 2, 9, 42
ChroMATERIAL, 165, 2, 1, 6, 8, 145, 9, 0, 2
TrailersApp, 15, 1, 1, 3, 84, 197, 0, 1, 5
react-native-console, 168, 2, 5, 5, 26, 178, 1, 0, 9
name-that-color-intellij-plugin, 38, 3, 1, 1, 16, 169, 1, 2, 11
SmoSEC, 39, 3, 1, 1, 107, 213, 0, 0, 1
AndroidStudio-VM-Options, 23, 5, 0, 1, 24, 137, 0, 0, 1
Android-Development-Aircraft-Carrier, 15, 1, 0, 1, 40, 143, 0, 0, 1
QuizBook, 13, 2, 1, 1, 119, 164, 1, 1, 7
DevMvp, 21, 2, 2, 1, 40, 154, 0, 0, 1
titled_navigation_bar, 75, 7, 3, 3, 55, 328, 1, 1, 4
SlimSocial-for-Facebook, 270, 19, 1, 3, 63, 244, 48, 2, 31
IBackdrop, 77, 1, 2, 1, 13, 138, 9, 0, 2
Droid-Snippet, 41, 1, 1, 3, 16, 119, 2, 0, 1
JSONToKotlinClass, 17, 1, 1, 1, 10, 139, 1, 0, 3
android-mqtt-quickstart, 39, 1, 2, 3, 59, 149, 0, 1, 5
OpenCV4AndroidWithCmake, 12, 1, 5, 1, 50, 126, 2, 0, 2
BinderDebug, 4, 1, 3, 1, 24, 133, 0, 0, 2
OkHttpProfiler, 103, 3, 2, 2, 22, 266, 6, 1, 9
gradle-robojava-plugin, 19, 1, 2, 1, 6, 113, 8, 0, 0
PinyinIME, 2, 1, 4, 1, 100, 184, 0, 0, 3
curso-android-src-as, 33, 1, 1, 1, 383, 116, 0, 0, 0
intellij-platform-solarized, 122, 1, 0, 1, 16, 179, 27, 0, 5
XposedTemplateForAS, 30, 1, 2, 1, 55, 177, 0, 0, 1
android-ndk-swig-example, 34, 2, 4, 3, 34, 124, 0, 1, 6
PushDemo, 110, 1, 1, 1, 22, 118, 5, 0, 11
Android-Studio-MVP-Template-Google-Architecture, 12, 2, 2, 2, 26, 111, 0, 0, 0
droidfish, 1015, 6, 5, 2, 97, 240, 0, 1, 1
Phoenix-for-VK, 344, 3, 2, 2, 39, 143, 2, 0, 10
clay, 24, 3, 2, 1, 19, 119, 1, 0, 3
vs-android, 43, 2, 2, 2, 34, 112, 0, 1, 42
android-styler, 11, 2, 1, 1, 9, 109, 2, 0, 1
LiveSmashBar, 60, 1, 1, 1, 7, 119, 0, 0, 0
Skill-learn-collect, 99, 1, 0, 1, 24, 108, 0, 0, 0
VS2015-Dark-Android-Studio, 11, 2, 0, 1, 11, 105, 0, 0, 3
flutter_enhancement_suite, 98, 7, 2, 5, 30, 244, 12, 5, 43
KickAssSlidingMenu, 99, 1, 1, 2, 32, 100, 6, 0, 0
reel-search-android, 21, 1, 2, 1, 6, 119, 5, 0, 0
Embrace-Android-Studio-Demo, 11, 0, 2, 1, 38, 103, 0, 0, 0
MonokaiAndroidStudio, 20, 1, 0, 2, 17, 108, 1, 0, 2
android_gradle_script, 15, 1, 0, 1, 26, 101, 0, 0, 0
Android_Code_Arbiter, 1, 0, 8, 1, 39, 111, 0, 0, 1
android-kubernetes-blockchain, 48, 6, 7, 3, 67, 117, 0, 2, 6
android-xml-sorter, 75, 5, 1, 3, 10, 102, 5, 0, 5
InjuredAndroid, 99, 1, 10, 1, 120, 530, 10, 0, 0
AndroidLiveTemplates, 27, 3, 0, 1, 13, 132, 0, 0, 0
Tesseract4Android, 225, 2, 23, 1, 72, 359, 12, 0, 1
testfairy-gradle-plugin, 180, 6, 2, 12, 37, 93, 2, 0, 8
android-databinding, 160, 1, 1, 1, 7, 92, 4, 0, 0
android-studio, 922, 2, 0, 1, 42, 110, 0, 0, 2
livetemplates, 8, 1, 0, 1, 25, 96, 0, 0, 0
android-retrostreams, 333, 3, 1, 3, 4, 109, 13, 0, 0
Xitu, 81, 1, 1, 1, 26, 91, 0, 0, 1
root_avd, 8, 1, 1, 1, 33, 183, 0, 0, 2
MaterialTabsTemplate, 37, 1, 1, 1, 24, 89, 0, 0, 1
AndroidToRN, 62, 1, 2, 1, 24, 95, 0, 0, 11
media-picker, 54, 1, 1, 1, 34, 180, 0, 0, 2
apprtc-android, 5, 1, 2, 1, 52, 91, 0, 0, 4
SimpleUML, 5, 1, 0, 1, 23, 100, 0, 0, 7
mupdf-android, 63, 3, 1, 2, 35, 104, 0, 1, 21
Awesome_Flutter_UI, 8, 1, 3, 1, 56, 132, 0, 1, 3
android-ratingreviews, 52, 5, 1, 1, 32, 168, 3, 0, 12
CSipSimple, 17, 1, 2, 2, 92, 94, 0, 1, 14
LiveData-DataBinding-Kotlin, 33, 1, 1, 2, 16, 88, 0, 0, 0
idea_flutter_json_format, 90, 1, 4, 4, 13, 91, 0, 0, 1
GoogleDevelopersColorScheme, 12, 2, 0, 1, 16, 85, 2, 0, 3
webrtc-android-demo-apprtc, 8, 1, 1, 1, 39, 96, 0, 0, 7
Xamarin-Forms-Mobile-Template, 102, 2, 2, 2, 17, 82, 0, 1, 3
OpenCV-3.1.0-Android, 4, 1, 1, 1, 32, 93, 0, 0, 1
android-vagrant, 76, 3, 2, 2, 25, 84, 0, 1, 6
HakunaMatataIntelliJPlugin, 32, 2, 2, 4, 6, 78, 0, 0, 10
Xamaridea, 20, 2, 1, 1, 17, 79, 0, 2, 14
flutter, 33017, 384, 17, 459, 24021, 148632, 0, 191, 11498
flutter-go, 754, 16, 8, 18, 3722, 23219, 4, 3, 3
gsy_github_app_flutter, 917, 6, 7, 3, 2346, 13697, 41, 0, 5
plugins, 4453, 444, 12, 54, 9248, 16687, 0, 100, 100
FlutterExampleApps, 52, 7, 1, 1, 3429, 17997, 0, 18, 27
flutter-in-action, 628, 110, 5, 19, 1704, 8704, 8, 41, 126
samples, 1117, 111, 16, 7, 6393, 14198, 0, 6, 65
flutter-desktop-embedding, 552, 38, 8, 3, 586, 7078, 0, 0, 3
fish-redux, 486, 32, 2, 5, 824, 7313, 0, 5, 164
Best-Flutter-UI-Templates, 111, 18, 4, 1, 3710, 16874, 0, 1, 5
Flutter-Notebook, 455, 11, 6, 1, 1163, 6993, 0, 0, 0
flutter_architecture_samples, 336, 31, 8, 8, 1611, 8246, 0, 9, 46
invoiceninja, 15563, 41, 4, 8, 2007, 6850, 612, 3, 820
FlutterDouBan, 399, 1, 4, 7, 1627, 7642, 0, 5, 43
HistoryOfEverything, 226, 5, 4, 4, 954, 6251, 0, 5, 55
Flutter-UI-Kit, 84, 4, 4, 7, 1129, 5992, 2, 4, 11
flutter-examples, 196, 38, 10, 2, 1572, 6321, 0, 2, 17
bloc, 2048, 176, 13, 6, 3045, 10008, 447, 5, 89
flutter_wanandroid, 117, 1, 5, 1, 1222, 5466, 0, 1, 10
Flutter-learning, 184, 2, 3, 2, 820, 5176, 0, 1, 16
go-flutter, 344, 23, 2, 3, 274, 5523, 0, 3, 58
flutter_boost, 1121, 49, 8, 59, 1100, 6321, 12, 4, 248
Flutter-Course-Resources, 94, 3, 0, 1, 2805, 9351, 0, 6, 50
flutter_deer, 501, 5, 9, 2, 1407, 6706, 0, 0, 0
inKino, 424, 9, 7, 3, 630, 3422, 3, 5, 29
AndroidProject, 24, 2, 1, 1, 1148, 5389, 17, 0, 1
FlutterScreens, 65, 7, 2, 1, 1228, 5022, 0, 7, 9
flame, 2792, 138, 2, 14, 693, 7402, 24, 12, 89
flutter-osc, 36, 1, 4, 1, 563, 2853, 0, 0, 9
gsy_flutter_book, 23, 1, 0, 2, 471, 3593, 0, 2, 4
zhihu-flutter, 7, 1, 3, 1, 540, 3122, 0, 0, 9
fluro, 186, 25, 6, 4, 381, 3540, 10, 7, 38
flutter_swiper, 83, 4, 4, 2, 518, 3376, 0, 23, 234
provider, 419, 79, 1, 2, 459, 4609, 0, 2, 15
flutter-ui-nice, 124, 12, 5, 2, 555, 3360, 0, 0, 7
flutter-study, 48, 1, 0, 1, 425, 2494, 0, 1, 5
flukit, 41, 1, 5, 2, 572, 4725, 0, 1, 11
Android-Studio-Plugins, 47, 5, 1, 1, 201, 2209, 0, 1, 6
flutter-tutorials, 74, 6, 3, 17, 1695, 4536, 0, 16, 47
flutter_vignettes, 50, 7, 0, 4, 867, 3946, 0, 2, 7
Flare-Flutter, 415, 10, 7, 6, 459, 2559, 0, 18, 140
ion, 813, 35, 4, 19, 504, 3682, 8, 15, 29
mxflutter, 168, 9, 13, 4, 313, 2789, 3, 0, 6
flutter-netease-music, 853, 6, 9, 7, 752, 3117, 5, 5, 9
GSYGithubAPP, 34, 1, 7, 25, 417, 2277, 18, 21, 29
flutter_easy_refresh, 782, 7, 9, 4, 573, 3374, 55, 0, 21
graphql-flutter, 1854, 92, 7, 49, 510, 3093, 125, 5, 95
fun_android_flutter, 275, 1, 4, 3, 488, 2608, 9, 2, 10
flutter_shuqi, 48, 1, 5, 1, 620, 2465, 0, 0, 12
flutter_ui_challenges, 494, 8, 9, 6, 1283, 4003, 0, 1, 1
fluwx, 1003, 31, 6, 10, 449, 2731, 12, 0, 28
flutterfire, 2928, 455, 12, 44, 3517, 7427, 6, 24, 233
app, 791, 60, 13, 54, 514, 2117, 18, 38, 141
flutter_screenutil, 506, 26, 9, 4, 422, 3368, 6, 1, 5
flutter_spinkit, 137, 10, 6, 1, 280, 2683, 13, 2, 14
fl_chart, 1438, 61, 10, 114, 1361, 5273, 83, 9, 236
sqflite, 1214, 50, 7, 7, 401, 2548, 0, 1, 135
UIWidgets, 1865, 10, 8, 36, 252, 1951, 2, 3, 45
GZXTaoBaoAppFlutter, 92, 1, 6, 1, 448, 2118, 1, 0, 24
gsy_flutter_demo, 282, 2, 5, 3, 429, 2524, 1, 0, 3
coderiver, 69, 2, 6, 1, 299, 1561, 0, 1, 7
getwidget, 1135, 26, 8, 2, 515, 3716, 8, 1, 17
flutter-rs, 477, 10, 2, 25, 76, 2000, 3, 9, 42
flutter_staggered_grid_view, 162, 7, 1, 3, 456, 2748, 4, 4, 29
mobx.dart, 1073, 68, 2, 5, 288, 2233, 0, 6, 66
flutter_app, 637, 4, 8, 1, 479, 2381, 0, 1, 8
NeteaseCloudMusic, 107, 4, 4, 3, 289, 1737, 0, 1, 15
flutter_pulltorefresh, 532, 19, 4, 2, 601, 2516, 43, 19, 136
flutter-webrtc, 917, 88, 10, 9, 875, 3402, 57, 14, 345
timy-messenger, 41, 9, 6, 10, 427, 1918, 0, 8, 21
flutter_redux, 83, 16, 8, 8, 207, 1591, 2, 0, 18
zefyr, 346, 13, 10, 14, 501, 2152, 0, 26, 227
morec, 119, 1, 5, 3, 231, 1508, 0, 1, 6
flutter_slidable, 212, 13, 4, 4, 420, 2340, 14, 21, 85
flutter-todos, 261, 1, 5, 4, 382, 1794, 10, 0, 9
flutter_blue, 264, 20, 5, 5, 1062, 2181, 4, 67, 651
flutter_cached_network_image, 326, 30, 5, 9, 466, 2153, 0, 9, 209
hive, 625, 42, 1, 9, 319, 3397, 26, 9, 443
flutter_map, 749, 137, 6, 3, 655, 2261, 5, 6, 30
website, 5084, 434, 7, 10, 2824, 2311, 0, 7, 586
flutter-ui, 396, 7, 4, 2, 149, 1226, 5, 0, 9
fluttergram, 199, 9, 5, 1, 591, 2144, 0, 2, 7
FlutterUnit, 288, 2, 8, 2, 937, 5740, 1, 0, 43
TheGorgeousLogin, 25, 5, 8, 1, 461, 1615, 0, 0, 1
flutter_webview_plugin, 338, 53, 5, 3, 743, 1429, 12, 51, 545
flutter_mall, 103, 1, 6, 2, 562, 2177, 0, 1, 4
ejdb, 2814, 22, 12, 10, 125, 1353, 20, 1, 30
awesome-flutter-cn, 10, 2, 0, 1, 344, 2637, 0, 1, 4
gitme, 13, 1, 0, 7, 100, 1159, 0, 0, 57
flutter_study, 104, 2, 5, 1, 247, 1126, 0, 0, 19
flutter-samples, 129, 9, 7, 1, 703, 2797, 0, 0, 0
flutter-intellij, 2883, 46, 6, 72, 308, 1846, 0, 2, 518
flustars, 104, 1, 5, 1, 235, 1793, 0, 3, 12
MLN, 1218, 13, 13, 15, 200, 1563, 0, 0, 116
flutter_ui_challenges, 70, 3, 3, 3, 284, 1392, 0, 0, 11
flutter_catalog, 576, 11, 10, 3, 538, 1846, 14, 0, 13
flutter_hooks, 337, 45, 1, 3, 145, 2599, 0, 2, 29
Flutter-Music-Player, 14, 3, 5, 3, 481, 1538, 0, 2, 28
photo_view, 382, 36, 2, 1, 439, 1692, 43, 9, 91
CS-Notes, 3776, 218, 0, 1, 47604, 160825, 0, 59, 176
javascript, 1943, 410, 1, 5, 22493, 131145, 0, 60, 156
JavaGuide, 4491, 375, 1, 2, 41887, 130019, 0, 3, 68
javascript-algorithms, 1084, 191, 2, 2, 25304, 160560, 0, 176, 280
java-design-patterns, 3426, 325, 3, 5, 23637, 79239, 0, 15, 202
elasticsearch, 67242, 345, 15, 215, 22098, 62481, 105, 473, 4029
spring-boot, 41158, 368, 13, 19, 36012, 65166, 159, 41, 586
interviews, 445, 28, 1, 6, 11780, 59070, 0, 77, 108
advanced-java, 726, 36, 2, 1, 17480, 68246, 1, 0, 2
RxJava, 6021, 283, 3, 5, 7573, 46787, 231, 1, 14
guava, 5942, 281, 4, 22, 10252, 46595, 35, 111, 766
okhttp, 5302, 248, 3, 51, 8909, 43433, 0, 5, 151
retrofit, 1967, 149, 5, 9, 7094, 41024, 0, 25, 167
clean-code-javascript, 544, 106, 1, 1, 9044, 78362, 0, 20, 70
mall, 919, 1, 3, 1, 25835, 63191, 2, 6, 34
jQuery-File-Upload, 1265, 85, 6, 2, 7984, 31062, 0, 0, 49
leetcode, 1731, 76, 3, 5, 9066, 50256, 40, 0, 5
MPAndroidChart, 2070, 65, 1, 6, 8714, 36045, 44, 125, 2116
spark, 35609, 327, 21, 24, 25537, 34821, 0, 196, 196
zxing, 3683, 113, 3, 2, 9179, 30600, 29, 1, 7
leakcanary, 2002, 127, 3, 159, 3868, 28165, 31, 4, 73
JCSprout, 709, 23, 1, 6, 7031, 26917, 0, 15, 45
awesome-java, 1620, 312, 0, 4, 6554, 35130, 0, 16, 19
Java, 1802, 428, 2, 1, 16190, 49909, 0, 26, 38
EventBus, 550, 20, 2, 11, 4593, 24234, 7, 41, 145
jadx, 1883, 87, 3, 3, 4101, 33005, 26, 0, 290
spring-boot-examples, 213, 8, 4, 2, 11985, 28410, 0, 0, 5
ResumeSample, 26, 3, 0, 1, 8507, 25742, 0, 2, 2
p3c, 290, 37, 4, 6, 7809, 28710, 0, 24, 150
fastjson, 3978, 172, 4, 24, 6454, 25162, 84, 170, 1986
arthas, 1844, 161, 17, 8, 6809, 31598, 47, 57, 289
awesome-javascript, 797, 264, 0, 1, 3931, 29866, 0, 35, 37
javascript-questions, 1284, 187, 0, 2, 6925, 51779, 0, 4, 6
gson, 1776, 130, 1, 14, 4109, 21779, 6, 106, 394
selenium, 29312, 376, 20, 16, 7231, 25635, 80, 31, 161
libgdx, 15196, 334, 13, 3, 6296, 21026, 9, 74, 272
generator-jhipster, 42819, 300, 12, 27, 3882, 20269, 25, 30, 273
IntelliJ-IDEA-Tutorial, 478, 27, 0, 1, 6748, 20465, 0, 0, 1
ExoPlayer, 14883, 226, 6, 16, 5629, 20304, 21, 38, 758
Android-CleanArchitecture, 248, 9, 1, 2, 3260, 15279, 0, 16, 142
flatbuffers, 2862, 430, 22, 3, 2905, 19764, 31, 12, 174
easyexcel, 944, 45, 1, 7, 6835, 26337, 4, 47, 324
toBeTopJavaer, 271, 37, 1, 1, 5345, 24237, 0, 3, 51
xxl-job, 1717, 57, 2, 13, 9634, 23400, 31, 121, 1069
You-Dont-Need-JavaScript, 137, 35, 1, 1, 1052, 17961, 0, 40, 69
mybatis-3, 4430, 203, 4, 8, 11606, 18103, 38, 62, 210
cat, 7410, 82, 15, 19, 5217, 17481, 3, 11, 133
WebViewJavascriptBridge, 463, 55, 7, 6, 2819, 14087, 0, 20, 98
dbeaver, 23778, 225, 7, 66, 2714, 30105, 168, 27, 1710
spring-cloud-alibaba, 2397, 157, 5, 12, 7399, 24566, 32, 16, 394
awesome-java-cn, 245, 22, 0, 1, 4313, 14803, 0, 1, 5
redisson, 7708, 126, 1, 3, 4899, 20468, 117, 31, 356
HikariCP, 2829, 119, 2, 9, 2652, 17742, 0, 49, 438
JavaScript30, 387, 114, 3, 1, 29780, 22749, 0, 31, 31
spring-boot-demo, 734, 11, 7, 8, 9712, 28521, 0, 31, 112
graal, 71347, 243, 22, 81, 1411, 18107, 32, 126, 973
LearningNotes, 227, 11, 0, 1, 3906, 12828, 0, 30, 94
logger, 146, 10, 2, 1, 2032, 13504, 16, 11, 78
Sentinel, 788, 176, 7, 36, 7332, 20438, 22, 169, 662
hutool, 4347, 219, 6, 3, 6850, 25210, 125, 0, 3
deeplearning4j, 2634, 60, 20, 183, 4863, 12738, 0, 3, 610
playframework, 12555, 376, 7, 10, 4024, 12301, 58, 56, 462
logstash, 10350, 352, 14, 341, 3323, 13239, 105, 169, 1973
ray, 15758, 425, 16, 244, 4073, 23774, 62, 196, 2659
jeecg-boot, 840, 11, 3, 1, 12874, 33125, 24, 15, 80
JavaFamily, 218, 3, 0, 2, 7357, 32816, 0, 0, 0
bytecode-viewer, 1138, 38, 6, 1, 1055, 13472, 58, 0, 79
androidannotations, 2934, 57, 2, 3, 2384, 11139, 0, 0, 50
vert.x, 5444, 211, 2, 39, 1952, 13353, 0, 77, 260
MaterialDrawer, 2512, 97, 3, 78, 2039, 11589, 233, 0, 0
realm-java, 8914, 103, 10, 99, 1767, 11357, 0, 35, 381
infer, 11721, 154, 23, 10, 1888, 13789, 29, 10, 383
RxTool, 807, 6, 2, 1, 2783, 11893, 190, 1, 1
libphonenumber, 2048, 123, 9, 14, 1902, 14560, 146, 20, 20
mockito, 5871, 258, 5, 22, 2311, 13629, 196, 10, 326
presto, 20641, 344, 17, 145, 4533, 14385, 0, 308, 1208
technology-talk, 278, 1, 0, 1, 3559, 12923, 0, 2, 10
recyclerview-animators, 302, 29, 2, 5, 1943, 11180, 0, 3, 107
PermissionsDispatcher, 787, 31, 3, 2, 1422, 11093, 40, 4, 26
uCrop, 359, 52, 3, 10, 1998, 11399, 15, 26, 253
Android, 41, 1, 0, 1, 3387, 12967, 0, 12, 59
en.javascript.info, 6416, 442, 4, 27, 3383, 19903, 0, 40, 130
tink, 5867, 101, 12, 19, 1155, 12971, 21, 22, 123
elasticsearch-analysis-ik, 259, 36, 1, 5, 3067, 14673, 183, 17, 361
guice, 2026, 62, 4, 7, 1607, 11736, 15, 71, 400
lombok, 3481, 117, 9, 3, 2174, 11727, 3, 14, 794
jedis, 2118, 176, 3, 8, 3659, 10879, 73, 50, 184
webmagic, 1205, 44, 8, 40, 4076, 10681, 23, 30, 334
javascript-patterns, 360, 69, 3, 3, 1653, 9308, 0, 4, 19
jib, 2239, 105, 5, 21, 1329, 12456, 145, 16, 131
labs, 718, 111, 17, 25, 5217, 11091, 0, 81, 135
spark, 1067, 125, 5, 11, 1548, 9438, 0, 56, 250
glide-transformations, 239, 16, 2, 1, 1413, 9727, 0, 5, 55
spring-boot-admin, 2006, 140, 7, 20, 2911, 11462, 98, 5, 44
awesome-kotlin, 1360, 302, 7, 2, 1129, 10283, 0, 0, 20
auto, 1556, 76, 3, 11, 1144, 9992, 57, 16, 82
awesome-self-supervised-learning, 182, 76, 0, 1, 755, 5393, 0, 1, 1
awesome-eslint, 293, 102, 0, 1, 207, 3417, 0, 0, 5
awesome-json-datasets, 259, 69, 1, 6, 336, 2727, 0, 1, 4
awesome-copycats, 879, 38, 1, 2, 503, 2774, 0, 0, 0
awesome-pentest-cheat-sheets, 76, 3, 0, 1, 654, 3094, 0, 7, 12
awesome-django, 494, 66, 3, 3, 971, 6522, 0, 1, 2
awesome-compose, 267, 61, 14, 11, 3451, 20837, 0, 43, 83
awesome-etl, 75, 14, 0, 1, 316, 2783, 0, 7, 13
awesome-online-ide, 223, 41, 0, 1, 252, 2850, 0, 1, 11
bug-bounty-reference, 200, 19, 0, 1, 781, 3184, 0, 3, 5
awesome-knowledge-distillation, 145, 21, 0, 1, 467, 3001, 0, 0, 0
Context-Menu.iOS, 56, 10, 2, 2, 251, 1843, 1, 0, 3
WhatsNewKit, 619, 12, 1, 3, 146, 2876, 27, 0, 1
awesome-kotlin, 193, 61, 0, 1, 281, 2327, 0, 0, 8
awesome-github, 120, 12, 0, 1, 488, 2026, 0, 0, 0
ios_top_1000, 5, 1, 1, 1, 298, 1831, 0, 0, 0
material-design-data, 34, 4, 1, 1, 292, 1868, 0, 0, 0
awesome-python3-webapp, 2, 1, 0, 18, 2815, 2200, 0, 11, 34
awesome-devblog, 3, 1, 0, 1, 2, 1, 0, 0, 0
awesome-devenv, 147, 45, 0, 1, 170, 2442, 0, 15, 16
ruby-bookmarks, 305, 58, 0, 1, 315, 2068, 0, 1, 3
awesome-iot, 284, 61, 0, 1, 393, 2678, 0, 1, 1
awesome-powershell, 249, 41, 1, 3, 368, 3744, 0, 5, 7
awesome-mobx, 155, 40, 0, 3, 147, 2140, 0, 2, 11
awesome-computer-history, 172, 17, 0, 1, 141, 2377, 0, 13, 16
slidesjs, 120, 3, 1, 6, 358, 1730, 0, 41, 344
Awesome-Unity-Shader, 65, 1, 2, 1, 952, 3264, 0, 0, 1
awesome-godot, 268, 51, 0, 4, 9, 233, 0, 0, 0
AwesomePerfCpp, 44, 6, 2, 1, 227, 2144, 0, 1, 2
awesome-yii2, 85, 13, 0, 1, 537, 1815, 0, 0, 0
awesome-point-cloud-analysis, 241, 15, 0, 1, 697, 3592, 0, 2, 2
books, 352, 44, 0, 1, 542, 4237, 0, 6, 7
awesome-resty, 365, 33, 0, 1, 250, 2224, 0, 0, 2
awesome-reverse-engineering, 5, 1, 0, 1, 751, 3693, 1, 1, 3
guides, 70, 8, 0, 1, 237, 2037, 0, 2, 2
awesome-mental-health, 131, 15, 1, 1, 132, 2562, 0, 8, 10
awesome-newsletters, 486, 130, 2, 4, 257, 3169, 0, 0, 10
naftis, 123, 9, 1, 6, 241, 1889, 8, 2, 25
awesome-love2d, 513, 100, 0, 2, 178, 2582, 0, 1, 1
awesome-robotics, 82, 31, 0, 1, 626, 3107, 0, 3, 6
awesome-interactive-journalism, 113, 8, 0, 1, 95, 1816, 0, 4, 5
awesome-animation, 10, 2, 0, 1, 189, 1684, 0, 0, 1
awesome-php, 230, 4, 0, 1, 443, 1823, 0, 3, 3
awesome-vulkan, 379, 62, 0, 1, 244, 2707, 0, 0, 2
awesome-startup-credits, 131, 17, 0, 1, 150, 2172, 0, 6, 7
awesome-machine-learning-interpretability, 409, 30, 0, 5, 497, 2829, 0, 6, 11
vim-awesome, 545, 17, 8, 295, 97, 1964, 2, 5, 61
awesome-awesome, 130, 37, 0, 1, 242, 2297, 0, 7, 8
awesome-apache-airflow, 350, 67, 1, 1, 431, 3208, 0, 0, 2
go_spider, 178, 4, 1, 1, 478, 1802, 4, 2, 22
devmap, 170, 8, 0, 2, 567, 2200, 1, 0, 0
awesome-gis, 345, 52, 0, 3, 582, 3238, 0, 7, 16
awesome-php-cn, 21, 3, 0, 1, 526, 1773, 0, 0, 2
awesome-opensource-apps, 300, 48, 0, 2, 527, 2641, 0, 34, 36
vue-fontawesome, 171, 37, 2, 20, 142, 2356, 29, 20, 68
awesome-java, 131, 5, 0, 1, 1552, 7796, 0, 0, 8
awesome-taro, 104, 43, 0, 2, 269, 2425, 0, 0, 2
awesome-jupyter, 214, 72, 0, 3, 348, 3136, 0, 1, 3
Awesome-Android-Notebook, 464, 1, 0, 1, 1144, 3168, 0, 0, 4
awesome-analytics, 194, 63, 0, 1, 410, 3504, 0, 30, 35
vertx-awesome, 446, 102, 0, 1, 277, 1993, 0, 0, 0
alfred-workflows, 275, 29, 0, 1, 110, 2473, 0, 3, 3
awesome-alfred-workflows, 166, 40, 0, 1, 116, 2675, 0, 1, 1
Awesome-Scene-Text-Recognition, 27, 8, 0, 1, 405, 1644, 0, 0, 4
react-native-awesome, 64, 4, 0, 4, 404, 1711, 0, 3, 5
awesome-learning-resources, 488, 129, 0, 2, 748, 4752, 0, 4, 4
Awesome-Chatbot, 11, 1, 1, 1, 393, 1892, 0, 2, 2
awesome-weex, 61, 3, 0, 1, 200, 1536, 0, 0, 0
Tvlist-awesome-m3u-m3u8, 49, 1, 0, 1, 2381, 16784, 0, 1, 13
awesome-opensource-documents, 72, 10, 0, 2, 156, 1804, 0, 1, 9
awesome-deep-text-detection-recognition, 48, 5, 0, 1, 518, 2433, 0, 1, 10
awesome-typescript, 56, 9, 0, 1, 343, 3470, 0, 9, 62
frontendDaily, 2433, 2, 3, 1, 187, 2140, 0, 0, 1344
awesome-PICO-8, 194, 40, 0, 1, 88, 2212, 0, 0, 0
awesome-peer-to-peer, 147, 12, 0, 1, 195, 2133, 0, 7, 13
zaobao, 1248, 11, 2, 2, 164, 2195, 0, 0, 8
awesome-sentence-embedding, 200, 4, 1, 2, 251, 2093, 0, 0, 1
Awesome-Interview, 51, 3, 0, 1, 314, 1741, 0, 1, 1
awesome-console-services, 269, 53, 0, 1, 294, 4469, 0, 4, 7
go-advice, 164, 20, 1, 1, 187, 2612, 0, 0, 1
awesome-sass, 213, 34, 0, 1, 127, 1807, 0, 3, 7
